language,text_size,pattern_size,case_type,run_number,execution_time_seconds
Python,100000,10,best,25,0.016806542000267655
C,100000,10,best,1,9.8e-08
C,100000,10,best,2,5.6e-08
C,100000,10,best,3,7.3e-08
C,100000,10,best,4,7.7e-08
C,100000,10,best,5,8.3e-08
C,100000,10,best,6,6.7e-08
C,100000,10,best,7,9.2e-08
C,100000,10,best,8,7e-08
C,100000,10,best,9,5.8e-08
C,100000,10,best,10,6.8e-08
C,100000,10,best,11,7.1e-08
C,100000,10,best,12,6e-08
C,100000,10,best,13,3.98e-07
C,100000,10,best,14,1.15e-07
C,100000,10,best,15,8.3e-08
C,100000,10,best,16,6.1e-08
C,100000,10,best,17,1.08e-07
C,100000,10,best,18,1.03e-07
C,100000,10,best,19,1.11e-07
C,100000,10,best,20,6.3e-08
C,100000,10,best,21,7.6e-08
C,100000,10,best,22,6.5e-08
C,100000,10,best,23,9.4e-08
C,100000,10,best,24,9.3e-08
C,100000,10,best,25,8e-08
Python,100000,10,average,1,0.024080521000087174
Python,100000,10,average,2,0.017491611999957968
Python,100000,10,average,3,0.016736471000058373
Python,100000,10,average,4,0.01687601999992694
Python,100000,10,average,5,0.016744307999942976
Python,100000,10,average,6,0.016880360999948607
Python,100000,10,average,7,0.016961068999989948
Python,100000,10,average,8,0.016792728999917017
Python,100000,10,average,9,0.016989697000099113
Python,100000,10,average,10,0.01674970200019743
Python,100000,10,average,11,0.016803614999844285
Python,100000,10,average,12,0.01694091799981834
Python,100000,10,average,13,0.01683313800003816
Python,100000,10,average,14,0.016811253000014403
Python,100000,10,average,15,0.016743319999932282
Python,100000,10,average,16,0.017112101999828155
Python,100000,10,average,17,0.016783020000275428
Python,100000,10,average,18,0.016716471000108868
Python,100000,10,average,19,0.016915450999931636
Python,100000,10,average,20,0.016826812000090285
Python,100000,10,average,21,0.016975510000065697
Python,100000,10,average,22,0.016736844000206474
Python,100000,10,average,23,0.01691523399995276
Python,100000,10,average,24,0.016816263999771763
Python,100000,10,average,25,0.017097557999932178
C,100000,10,average,1,8.3e-08
C,100000,10,average,2,7e-08
C,100000,10,average,3,8e-08
C,100000,10,average,4,5.8e-08
C,100000,10,average,5,7.5e-08
C,100000,10,average,6,7.5e-08
C,100000,10,average,7,7e-08
C,100000,10,average,8,1.64e-07
C,100000,10,average,9,9.6e-08
C,100000,10,average,10,6e-08
C,100000,10,average,11,9.8e-08
C,100000,10,average,12,9e-08
C,100000,10,average,13,8.2e-08
C,100000,10,average,14,7.3e-08
C,100000,10,average,15,6.7e-08
C,100000,10,average,16,1.75e-07
C,100000,10,average,17,8.2e-08
C,100000,10,average,18,1.04e-07
C,100000,10,average,19,6e-08
C,100000,10,average,20,8.1e-08
C,100000,10,average,21,6.3e-08
